Wife's age,Wife's education,Husband's education,Number of children ever born,Wife's religion,Wife's now working?,Husband's occupation,Standard-of-living index,Media exposure,Contraceptive method used
20,High School,Intermediate,3,Islam,No,Area 3,High,Good,No-use
33,Intermediate,Intermediate,6,Islam,No,Area 3,High,Good,Long-term
46,University,Intermediate,5,Islam,No,Area 1,High,Good,Long-term
35,University,University,4,Islam,No,Area 1,High,Good,Long-term
26,University,University,2,Islam,Yes,Area 1,High,Good,Long-term
36,Intermediate,Intermediate,5,Islam,Yes,Area 1,Considerable,Good,Long-term
37,Intermediate,University,3,Islam,No,Area 1,Considerable,Good,Long-term
44,High School,University,4,Islam,No,Area 3,Considerable,Good,Long-term
32,University,University,2,Islam,No,Area 1,High,Good,Long-term
25,High School,University,6,Islam,No,Area 3,High,Good,Long-term
42,High School,Intermediate,7,Islam,No,Area 3,High,Good,Long-term
30,University,University,2,Non-Islam,Yes,Area 1,High,Good,Long-term
39,University,University,4,Islam,No,Area 1,High,Good,Long-term
26,Primary,Primary,2,Islam,No,Area 3,High,Good,Long-term
30,High School,University,3,Islam,No,Area 3,High,Good,Long-term
38,University,University,4,Non-Islam,Yes,Area 1,Moderate,Good,Long-term
23,University,University,1,Islam,No,Area 1,Moderate,Good,Long-term
18,Intermediate,University,1,Islam,No,Area 3,High,Good,Long-term
25,Intermediate,University,3,Islam,No,Area 2,Considerable,Good,Long-term
37,University,University,2,Islam,Yes,Area 3,Considerable,Good,Long-term
20,Intermediate,University,1,Islam,No,Area 3,Moderate,Good,Long-term
45,University,University,7,Islam,No,Area 1,High,Good,Long-term
28,High School,Primary,2,Islam,Yes,Area 3,Considerable,Good,Long-term
33,High School,High School,3,Islam,No,Area 2,Considerable,Good,Long-term
28,High School,Intermediate,2,Islam,No,Area 3,Considerable,Good,Long-term
30,High School,University,1,Islam,Yes,Area 3,High,Good,Long-term
32,University,University,4,Islam,No,Area 2,High,Good,Long-term
48,University,Intermediate,7,Islam,Yes,Area 2,High,Good,Long-term
46,University,University,2,Islam,Yes,Area 1,High,Good,Long-term
32,University,University,2,Non-Islam,Yes,Area 1,High,Good,Long-term
49,University,University,10,Islam,No,Area 1,High,Good,Long-term
33,High School,High School,6,Islam,Yes,Area 3,High,Good,Long-term
39,University,University,3,Islam,No,Area 1,High,Good,Long-term
35,University,University,5,Non-Islam,Yes,Area 1,High,Good,Long-term
36,University,University,3,Non-Islam,No,Area 1,Considerable,Good,Long-term
20,Intermediate,University,1,Islam,No,Area 2,High,Good,Long-term
23,University,University,1,Islam,No,Area 3,High,Good,Long-term
26,High School,University,2,Islam,No,Area 1,Considerable,Good,Long-term
25,Intermediate,Intermediate,1,Islam,No,Area 3,Low,Good,Long-term
31,University,University,1,Islam,No,Area 1,High,Good,Long-term
36,University,University,2,Islam,No,Area 2,High,Good,Long-term
32,Intermediate,Intermediate,2,Islam,Yes,Area 3,High,Good,Long-term
36,University,University,3,Islam,No,Area 1,High,Good,Long-term
40,University,University,3,Islam,No,Area 1,High,Good,Long-term
46,University,University,4,Islam,No,Area 1,High,Good,Long-term
42,University,University,8,Non-Islam,No,Area 1,High,Good,Long-term
39,University,University,4,Islam,Yes,Area 1,High,Good,Long-term
34,University,University,2,Islam,No,Area 1,High,Good,Long-term
36,University,University,3,Islam,No,Area 1,High,Good,Long-term
37,University,University,3,Islam,No,Area 1,High,Good,Long-term
36,University,University,4,Non-Islam,No,Area 1,High,Good,Long-term
38,University,University,2,Islam,No,Area 1,High,Good,Long-term
27,Intermediate,Intermediate,1,Non-Islam,Yes,Area 2,High,Good,Long-term
37,University,Intermediate,8,Islam,No,Area 1,High,Good,Long-term
24,Primary,University,1,Islam,Yes,Area 4,Moderate,Not good,Long-term
42,High School,University,8,Islam,No,Area 1,High,Good,Long-term
31,University,University,3,Non-Islam,Yes,Area 4,High,Good,Long-term
34,High School,Intermediate,2,Islam,No,Area 3,Considerable,Good,Long-term
34,University,University,4,Islam,No,Area 3,Considerable,Good,Long-term
36,University,University,4,Non-Islam,Yes,Area 1,High,Good,Long-term
47,University,University,8,Islam,No,Area 1,High,Good,Long-term
34,University,University,3,Islam,No,Area 1,High,Good,Long-term
44,University,University,6,Non-Islam,No,Area 1,Considerable,Good,Long-term
21,University,University,1,Islam,No,Area 1,High,Good,Long-term
42,University,University,6,Islam,No,Area 1,Considerable,Good,Long-term
44,University,University,4,Islam,Yes,Area 2,Considerable,Good,Long-term
19,University,University,1,Islam,No,Area 2,Considerable,Good,Long-term
35,Primary,Intermediate,7,Islam,Yes,Area 2,Considerable,Not good,Long-term
24,University,University,1,Islam,No,Area 3,Moderate,Good,Long-term
32,Intermediate,University,7,Non-Islam,No,Area 1,Considerable,Good,Long-term
31,Intermediate,Intermediate,2,Islam,Yes,Area 3,Considerable,Good,Long-term
47,Intermediate,University,11,Islam,Yes,Area 2,Considerable,Good,Long-term
38,University,University,6,Islam,Yes,Area 3,Considerable,Good,Long-term
40,University,University,4,Islam,No,Area 1,Considerable,Good,Long-term
35,Intermediate,Intermediate,4,Islam,No,Area 3,Moderate,Good,Long-term
26,Intermediate,University,3,Islam,No,Area 3,High,Good,Long-term
23,University,Intermediate,3,Islam,No,Area 3,Considerable,Good,Long-term
40,University,University,6,Non-Islam,Yes,Area 1,High,Good,Long-term
37,University,University,3,Islam,No,Area 1,High,Good,Long-term
39,University,University,5,Islam,No,Area 2,High,Good,Long-term
25,University,University,2,Islam,No,Area 2,High,Good,Long-term
48,University,University,4,Non-Islam,No,Area 1,High,Good,Long-term
31,University,University,3,Islam,No,Area 1,High,Good,Long-term
26,University,University,1,Non-Islam,No,Area 2,High,Good,Long-term
44,University,University,5,Islam,Yes,Area 1,High,Good,Long-term
29,University,University,1,Islam,Yes,Area 2,High,Good,Long-term
36,High School,Primary,6,Islam,No,Area 2,Low,Good,Long-term
29,University,University,2,Islam,Yes,Area 1,Considerable,Good,Long-term
37,High School,Intermediate,7,Islam,No,Area 3,High,Good,Long-term
28,Intermediate,Intermediate,3,Islam,No,Area 1,Moderate,Good,Long-term
40,High School,Intermediate,6,Islam,No,Area 1,Moderate,Good,Long-term
33,University,University,4,Islam,No,Area 1,High,Good,Long-term
22,University,University,1,Islam,No,Area 1,Moderate,Good,Long-term
35,Intermediate,University,5,Islam,Yes,Area 1,Considerable,Not good,Long-term
32,University,University,3,Non-Islam,No,Area 3,Considerable,Good,Long-term
35,University,University,5,Islam,Yes,Area 1,Considerable,Good,Long-term
29,University,University,2,Islam,No,Area 1,High,Good,Long-term
23,Intermediate,Intermediate,2,Islam,Yes,Area 3,High,Good,Long-term
35,University,University,2,Islam,Yes,Area 1,High,Good,Long-term
36,University,University,3,Islam,Yes,Area 2,High,Good,Long-term
32,University,University,2,Islam,Yes,Area 1,High,Good,Long-term
30,University,Primary,4,Islam,No,Area 3,Considerable,Good,Long-term
36,University,University,4,Non-Islam,No,Area 2,High,Good,Long-term
33,University,University,3,Islam,No,Area 3,High,Good,Long-term
33,Intermediate,University,5,Non-Islam,No,Area 3,Considerable,Good,Long-term
43,High School,University,13,Islam,No,Area 2,Considerable,Good,Long-term
35,Intermediate,Intermediate,6,Islam,No,Area 2,Considerable,Good,Long-term
38,University,University,5,Islam,No,Area 1,Considerable,Good,Long-term
25,Intermediate,Primary,4,Islam,No,Area 3,Low,Good,Long-term
26,Intermediate,Intermediate,2,Islam,No,Area 3,Moderate,Good,Long-term
24,University,University,1,Islam,No,Area 3,High,Good,Long-term
22,Intermediate,University,1,Islam,No,Area 4,High,Good,Long-term
33,High School,Intermediate,5,Islam,Yes,Area 2,Low,Good,Long-term
45,Intermediate,Intermediate,7,Islam,No,Area 3,High,Good,Long-term
29,University,University,2,Islam,Yes,Area 1,Considerable,Good,Long-term
47,High School,High School,7,Islam,No,Area 2,High,Good,Long-term
36,Intermediate,High School,6,Islam,No,Area 3,Moderate,Good,Long-term
45,Intermediate,Intermediate,8,Islam,No,Area 2,Considerable,Good,Long-term
47,University,University,6,Islam,Yes,Area 1,High,Good,Long-term
43,Intermediate,University,2,Islam,Yes,Area 2,High,Good,Long-term
44,University,University,7,Islam,No,Area 3,Moderate,Good,Long-term
24,High School,University,2,Islam,No,Area 3,Considerable,Good,Long-term
28,University,University,2,Islam,Yes,Area 1,Considerable,Good,Long-term
34,University,University,5,Islam,No,Area 3,High,Good,Long-term
31,Intermediate,University,4,Islam,No,Area 1,Considerable,Good,Long-term
27,University,University,3,Islam,No,Area 1,High,Good,Long-term
27,Intermediate,Intermediate,1,Islam,Yes,Area 3,High,Good,Long-term
26,University,University,1,Islam,Yes,Area 1,Considerable,Good,Long-term
36,Intermediate,University,7,Islam,No,Area 2,Moderate,Good,Long-term
35,University,University,4,Non-Islam,No,Area 3,Considerable,Good,Long-term
38,University,University,6,Islam,No,Area 3,Considerable,Good,Long-term
44,University,University,7,Islam,No,Area 2,High,Good,Long-term
25,University,University,1,Islam,No,Area 1,High,Good,Long-term
25,University,University,2,Non-Islam,No,Area 1,Considerable,Good,Long-term
41,University,University,4,Islam,No,Area 1,High,Good,Long-term
41,Intermediate,University,5,Islam,No,Area 1,Considerable,Good,Long-term
24,University,University,1,Islam,Yes,Area 1,High,Good,Long-term
33,University,University,3,Islam,No,Area 3,Considerable,Good,Long-term
29,University,University,3,Islam,Yes,Area 3,Considerable,Good,Long-term
47,University,University,4,Islam,Yes,Area 1,High,Good,Long-term
28,University,University,4,Islam,No,Area 1,Considerable,Good,Long-term
21,High School,High School,1,Islam,No,Area 3,Moderate,Good,Long-term
32,Intermediate,Intermediate,6,Islam,Yes,Area 3,Considerable,Good,Long-term
30,Intermediate,University,2,Islam,No,Area 1,High,Good,Long-term
37,University,University,5,Islam,No,Area 3,High,Good,Long-term
29,University,Intermediate,4,Islam,Yes,Area 3,Moderate,Good,Long-term
38,University,University,3,Islam,Yes,Area 1,High,Good,Long-term
49,Intermediate,Intermediate,11,Islam,No,Area 1,High,Good,Long-term
41,Intermediate,Intermediate,5,Islam,No,Area 1,High,Good,Long-term
43,Intermediate,University,5,Islam,No,Area 3,Moderate,Not good,Long-term
47,Primary,Primary,10,Islam,No,Area 3,Considerable,Good,Long-term
22,University,University,1,Islam,No,Area 1,Considerable,Good,Long-term
27,University,University,1,Non-Islam,Yes,Area 1,High,Good,Long-term
34,Intermediate,University,2,Non-Islam,No,Area 2,Considerable,Good,Long-term
42,Intermediate,Intermediate,4,Islam,No,Area 2,High,Good,Long-term
39,University,University,3,Non-Islam,Yes,Area 1,High,Good,Long-term
36,University,University,3,Non-Islam,No,Area 2,High,Good,Long-term
21,University,University,1,Islam,No,Area 2,Low,Good,Long-term
36,Intermediate,University,4,Non-Islam,Yes,Area 2,High,Good,Long-term
25,High School,Intermediate,1,Islam,Yes,Area 4,High,Good,Long-term
41,University,University,4,Non-Islam,Yes,Area 2,High,Good,Long-term
32,University,University,4,Non-Islam,Yes,Area 2,High,Good,Long-term
41,University,University,4,Non-Islam,Yes,Area 2,High,Good,Long-term
43,University,University,3,Non-Islam,No,Area 1,High,Good,Long-term
35,University,University,3,Islam,No,Area 2,Considerable,Good,Long-term
24,University,University,2,Islam,Yes,Area 1,Considerable,Good,Long-term
43,University,University,6,Islam,No,Area 1,High,Good,Long-term
48,University,University,7,Non-Islam,No,Area 1,High,Good,Long-term
28,University,University,2,Islam,No,Area 1,Considerable,Good,Long-term
24,University,University,1,Islam,No,Area 1,High,Good,Long-term
42,University,University,3,Islam,Yes,Area 1,High,Good,Long-term
39,University,University,3,Islam,No,Area 1,High,Good,Long-term
24,University,University,1,Islam,No,Area 1,High,Good,Long-term
33,University,Intermediate,5,Islam,No,Area 2,High,Good,Long-term
29,University,University,2,Islam,No,Area 3,High,Good,Long-term
44,University,University,5,Islam,No,Area 1,High,Good,Long-term
17,University,University,1,Islam,No,Area 2,High,Good,Long-term
35,Intermediate,University,3,Islam,No,Area 2,Moderate,Good,Long-term
32,Intermediate,University,5,Islam,No,Area 1,Moderate,Good,Long-term
27,University,University,2,Islam,Yes,Area 1,Considerable,Good,Long-term
44,University,University,4,Islam,No,Area 1,High,Good,Long-term
42,University,University,5,Islam,No,Area 1,High,Good,Long-term
40,University,University,6,Islam,No,Area 1,Considerable,Good,Long-term
44,University,University,3,Islam,No,Area 1,High,Good,Long-term
33,University,University,5,Islam,No,Area 2,High,Good,Long-term
35,High School,University,3,Non-Islam,Yes,Area 3,High,Not good,Long-term
31,University,High School,2,Non-Islam,No,Area 1,Considerable,Good,Long-term
37,University,University,3,Non-Islam,No,Area 3,High,Good,Long-term
45,University,University,3,Non-Islam,No,Area 2,High,Good,Long-term
26,University,University,2,Non-Islam,No,Area 1,High,Good,Long-term
40,Intermediate,University,2,Non-Islam,No,Area 3,High,Good,Long-term
30,University,University,1,Non-Islam,No,Area 2,High,Good,Long-term
36,Intermediate,University,3,Non-Islam,Yes,Area 3,High,Good,Long-term
33,Intermediate,University,3,Non-Islam,No,Area 2,High,Good,Long-term
41,University,University,5,Non-Islam,No,Area 2,High,Good,Long-term
45,Intermediate,Intermediate,6,Non-Islam,No,Area 2,High,Good,Long-term
48,University,University,6,Non-Islam,No,Area 2,High,Good,Long-term
35,University,University,3,Non-Islam,Yes,Area 3,High,Good,Long-term
37,University,University,4,Non-Islam,Yes,Area 2,High,Good,Long-term
46,University,University,3,Non-Islam,Yes,Area 1,High,Good,Long-term
38,University,University,4,Non-Islam,No,Area 3,High,Good,Long-term
30,Intermediate,University,7,Islam,No,Area 2,High,Good,Long-term
42,University,Intermediate,7,Islam,Yes,Area 1,High,Good,Long-term
35,High School,High School,6,Islam,No,Area 3,High,Good,Long-term
34,University,University,6,Islam,No,Area 3,High,Good,Long-term
37,University,University,4,Islam,No,Area 1,High,Good,Long-term
38,University,University,6,Islam,No,Area 1,High,Good,Long-term
30,Intermediate,Intermediate,2,Islam,No,Area 2,Considerable,Good,Long-term
46,University,University,4,Islam,No,Area 1,High,Good,Long-term
31,University,University,3,Non-Islam,No,Area 2,High,Good,Long-term
41,University,University,6,Non-Islam,No,Area 1,High,Good,Long-term
41,University,University,7,Islam,No,Area 2,High,Good,Long-term
32,University,University,2,Non-Islam,Yes,Area 2,High,Good,Long-term
44,University,University,4,Islam,No,Area 1,High,Good,Long-term
39,University,University,4,Non-Islam,No,Area 1,High,Good,Long-term
39,University,University,5,Islam,No,Area 1,High,Good,Long-term
45,University,University,4,Islam,No,Area 1,High,Good,Long-term
33,University,University,3,Islam,No,Area 1,High,Good,Long-term
39,University,University,3,Non-Islam,No,Area 1,High,Good,Long-term
44,University,University,3,Islam,Yes,Area 1,High,Good,Long-term
34,Intermediate,Intermediate,6,Islam,No,Area 3,High,Good,Long-term
33,Intermediate,Intermediate,5,Islam,No,Area 3,High,Good,Long-term
34,High School,High School,8,Islam,No,Area 2,Moderate,Good,Long-term
27,Intermediate,High School,5,Islam,No,Area 2,High,Good,Long-term
47,Primary,Primary,8,Islam,No,Area 3,High,Not good,Long-term
25,High School,University,3,Islam,No,Area 1,High,Not good,Long-term
24,Intermediate,University,5,Islam,No,Area 1,Moderate,Not good,Long-term
41,University,University,4,Islam,Yes,Area 1,High,Good,Long-term
29,Intermediate,Intermediate,4,Islam,No,Area 3,High,Good,Short-term
27,High School,High School,5,Islam,No,Area 3,Low,Good,Short-term
40,Intermediate,University,5,Islam,No,Area 1,Moderate,Good,Short-term
30,High School,High School,6,Islam,No,Area 3,Low,Good,Short-term
24,University,University,1,Islam,Yes,Area 1,High,Good,Short-term
36,University,University,2,Islam,Yes,Area 1,High,Good,Short-term
17,High School,High School,1,Islam,No,Area 3,Moderate,Good,Short-term
28,Primary,High School,4,Islam,No,Area 2,Considerable,Good,Short-term
27,High School,University,1,Islam,No,Area 1,High,Good,Short-term
21,Intermediate,Intermediate,1,Islam,No,Area 3,Considerable,Good,Short-term
30,High School,High School,4,Islam,No,Area 2,High,Good,Short-term
48,University,University,16,Islam,No,Area 1,High,Good,Short-term
29,High School,University,3,Islam,Yes,Area 3,Considerable,Good,Short-term
29,University,University,2,Islam,No,Area 3,High,Good,Short-term
20,Intermediate,University,2,Islam,No,Area 1,Considerable,Good,Short-term
28,University,University,1,Islam,No,Area 3,Moderate,Good,Short-term
32,High School,Intermediate,5,Islam,Yes,Area 2,Considerable,Good,Short-term
27,Intermediate,Intermediate,1,Islam,Yes,Area 3,Considerable,Good,Short-term
25,High School,Intermediate,1,Islam,No,Area 3,Low,Good,Short-term
43,University,University,3,Islam,No,Area 1,High,Good,Short-term
35,University,University,2,Islam,No,Area 2,High,Good,Short-term
30,University,University,1,Islam,No,Area 1,High,Good,Short-term
29,Primary,University,3,Islam,No,Area 4,High,Not good,Short-term
33,Intermediate,University,8,Islam,No,Area 3,High,Good,Short-term
37,Intermediate,University,5,Islam,Yes,Area 2,High,Good,Short-term
27,High School,University,3,Islam,No,Area 4,High,Good,Short-term
33,High School,University,3,Islam,No,Area 2,High,Good,Short-term
35,High School,Intermediate,6,Islam,Yes,Area 3,Considerable,Good,Short-term
20,Intermediate,Intermediate,2,Islam,No,Area 2,High,Good,Short-term
26,High School,University,3,Islam,No,Area 3,High,Good,Short-term
24,Intermediate,Intermediate,2,Islam,No,Area 3,Considerable,Good,Short-term
45,Primary,Intermediate,3,Islam,No,Area 3,Moderate,Good,Short-term
34,Intermediate,University,4,Islam,No,Area 1,Considerable,Good,Short-term
49,University,Intermediate,13,Islam,No,Area 1,High,Good,Short-term
33,University,University,5,Islam,No,Area 1,High,Good,Short-term
33,Intermediate,Intermediate,8,Islam,No,Area 3,High,Good,Short-term
24,Intermediate,University,3,Islam,No,Area 1,High,Good,Short-term
30,High School,High School,4,Islam,No,Area 2,Low,Good,Short-term
27,High School,University,4,Islam,No,Area 2,Low,Good,Short-term
23,University,Intermediate,1,Islam,No,Area 2,Moderate,Good,Short-term
35,University,University,4,Islam,No,Area 1,High,Good,Short-term
35,University,University,1,Non-Islam,No,Area 1,High,Good,Short-term
40,University,University,2,Non-Islam,Yes,Area 1,High,Good,Short-term
29,Intermediate,Intermediate,1,Islam,No,Area 3,Considerable,Good,Short-term
33,Intermediate,Intermediate,3,Islam,No,Area 3,Considerable,Good,Short-term
36,University,University,6,Non-Islam,No,Area 1,Moderate,Not good,Short-term
36,University,University,4,Non-Islam,No,Area 1,High,Good,Short-term
41,University,University,1,Islam,No,Area 3,Considerable,Good,Short-term
38,Intermediate,University,3,Islam,No,Area 3,Moderate,Good,Short-term
29,High School,University,3,Islam,No,Area 3,Considerable,Good,Short-term
19,University,University,1,Islam,No,Area 1,Considerable,Good,Short-term
34,High School,Intermediate,2,Islam,No,Area 2,Considerable,Good,Short-term
26,High School,University,3,Islam,No,Area 3,High,Good,Short-term
22,University,University,1,Islam,No,Area 2,Considerable,Good,Short-term
42,University,University,7,Islam,No,Area 2,High,Good,Short-term
27,Intermediate,University,2,Islam,No,Area 3,Moderate,Good,Short-term
27,University,University,2,Islam,No,Area 1,High,Good,Short-term
39,University,Intermediate,1,Islam,Yes,Area 2,Moderate,Good,Short-term
21,University,University,1,Islam,No,Area 3,Low,Good,Short-term
36,High School,Intermediate,7,Islam,No,Area 3,Considerable,Good,Short-term
29,Primary,High School,5,Islam,Yes,Area 1,Moderate,Good,Short-term
29,High School,Intermediate,4,Islam,No,Area 2,Low,Good,Short-term
22,Intermediate,High School,2,Islam,No,Area 2,Low,Good,Short-term
20,High School,Intermediate,1,Islam,No,Area 2,Low,Good,Short-term
33,Intermediate,University,4,Islam,Yes,Area 2,High,Good,Short-term
27,Intermediate,Intermediate,3,Islam,No,Area 2,Considerable,Good,Short-term
25,University,University,3,Islam,No,Area 1,High,Good,Short-term
25,University,Intermediate,2,Islam,No,Area 3,Considerable,Good,Short-term
32,High School,Intermediate,4,Islam,No,Area 3,Moderate,Good,Short-term
39,Intermediate,University,2,Islam,No,Area 1,Considerable,Good,Short-term
31,Intermediate,Intermediate,3,Islam,No,Area 2,Low,Not good,Short-term
26,University,University,4,Islam,No,Area 3,High,Good,Short-term
30,Intermediate,Intermediate,7,Islam,No,Area 3,High,Good,Short-term
43,Intermediate,Intermediate,5,Islam,Yes,Area 3,Considerable,Good,Short-term
34,High School,University,4,Islam,No,Area 3,Considerable,Good,Short-term
43,University,University,3,Islam,No,Area 1,High,Good,Short-term
32,University,University,3,Non-Islam,No,Area 1,High,Good,Short-term
41,University,University,5,Islam,No,Area 1,High,Good,Short-term
32,University,University,3,Non-Islam,No,Area 1,High,Good,Short-term
46,University,University,4,Islam,No,Area 1,High,Good,Short-term
40,Intermediate,University,3,Islam,Yes,Area 1,High,Good,Short-term
21,University,University,1,Islam,No,Area 2,Considerable,Good,Short-term
32,University,University,3,Islam,No,Area 1,High,Good,Short-term
25,University,University,1,Non-Islam,No,Area 3,Considerable,Good,Short-term
24,University,University,1,Islam,No,Area 1,Considerable,Good,Short-term
21,High School,Intermediate,1,Islam,Yes,Area 3,Moderate,Good,Short-term
22,University,University,1,Islam,No,Area 3,Considerable,Good,Short-term
32,University,University,4,Islam,No,Area 1,Considerable,Good,Short-term
30,University,University,2,Islam,Yes,Area 2,Moderate,Good,Short-term
25,Primary,High School,2,Islam,No,Area 2,Low,Good,Short-term
31,Intermediate,Intermediate,6,Non-Islam,No,Area 3,Low,Good,Short-term
19,High School,University,1,Islam,No,Area 2,Considerable,Good,Short-term
33,High School,High School,7,Islam,Yes,Area 2,Considerable,Good,Short-term
24,High School,High School,2,Islam,No,Area 3,High,Good,Short-term
19,Intermediate,Intermediate,3,Islam,No,Area 2,Considerable,Good,Short-term
27,High School,High School,5,Islam,No,Area 3,Considerable,Good,Short-term
32,University,University,2,Non-Islam,Yes,Area 1,High,Good,Short-term
32,University,University,2,Islam,Yes,Area 1,Considerable,Good,Short-term
29,Primary,Intermediate,5,Islam,No,Area 3,Considerable,Good,Short-term
23,Intermediate,University,1,Islam,No,Area 2,Considerable,Good,Short-term
34,High School,University,7,Islam,No,Area 2,Considerable,Good,Short-term
27,High School,University,1,Islam,No,Area 3,Considerable,Good,Short-term
37,University,University,4,Islam,No,Area 3,Moderate,Good,Short-term
26,Intermediate,University,4,Islam,No,Area 2,Considerable,Good,Short-term
31,High School,Intermediate,7,Islam,No,Area 3,Considerable,Good,Short-term
44,University,University,11,Islam,No,Area 1,High,Good,Short-term
35,Intermediate,University,4,Islam,No,Area 1,High,Good,Short-term
23,University,University,2,Islam,No,Area 3,High,Good,Short-term
24,High School,University,2,Islam,No,Area 1,High,Good,Short-term
24,University,University,2,Islam,No,Area 1,High,Good,Short-term
39,University,University,3,Islam,No,Area 2,High,Good,Short-term
33,Intermediate,University,4,Islam,No,Area 3,Considerable,Good,Short-term
24,High School,Intermediate,2,Islam,No,Area 2,Low,Good,Short-term
35,University,University,4,Islam,No,Area 1,High,Good,Short-term
35,University,University,6,Islam,No,Area 1,High,Good,Short-term
34,University,University,2,Islam,No,Area 3,Considerable,Good,Short-term
48,Intermediate,University,3,Islam,No,Area 2,Considerable,Good,Short-term
28,University,University,1,Islam,No,Area 1,Considerable,Good,Short-term
26,University,University,1,Islam,No,Area 3,Considerable,Good,Short-term
43,Intermediate,Intermediate,8,Islam,No,Area 1,Considerable,Good,Short-term
28,High School,High School,5,Islam,Yes,Area 2,High,Good,Short-term
22,Intermediate,University,3,Islam,No,Area 2,Considerable,Good,Short-term
26,Intermediate,Intermediate,3,Islam,No,Area 3,Considerable,Good,Short-term
30,Intermediate,University,4,Islam,No,Area 3,Considerable,Good,Short-term
38,University,University,5,Islam,No,Area 2,Considerable,Good,Short-term
44,University,University,8,Islam,No,Area 2,High,Good,Short-term
25,University,University,1,Non-Islam,No,Area 1,High,Good,Short-term
34,University,University,3,Islam,No,Area 1,High,Good,Short-term
26,University,University,3,Islam,No,Area 3,High,Good,Short-term
20,University,University,2,Islam,No,Area 1,Considerable,Good,Short-term
39,University,University,2,Non-Islam,No,Area 1,Considerable,Good,Short-term
27,Intermediate,University,4,Islam,No,Area 3,Considerable,Good,Short-term
32,University,University,2,Islam,Yes,Area 3,High,Good,Short-term
48,Intermediate,University,8,Islam,Yes,Area 1,High,Good,Short-term
39,University,Intermediate,4,Islam,No,Area 3,High,Good,Short-term
37,University,University,3,Islam,Yes,Area 1,High,Good,Short-term
33,University,University,2,Non-Islam,Yes,Area 1,Considerable,Good,Short-term
32,University,University,3,Islam,Yes,Area 1,High,Good,Short-term
25,University,University,2,Islam,No,Area 1,Considerable,Good,Short-term
37,University,University,3,Islam,No,Area 2,High,Good,Short-term
40,University,University,4,Islam,No,Area 1,High,Good,Short-term
38,University,University,6,Islam,No,Area 2,High,Good,Short-term
36,University,University,4,Islam,No,Area 1,High,Good,Short-term
27,Intermediate,Intermediate,3,Islam,No,Area 2,Moderate,Good,Short-term
22,Primary,Intermediate,2,Islam,No,Area 3,Low,Good,Short-term
22,High School,High School,2,Islam,No,Area 2,Considerable,Good,Short-term
30,Intermediate,University,3,Islam,No,Area 2,Considerable,Good,Short-term
20,High School,High School,2,Islam,No,Area 3,Moderate,Not good,Short-term
34,University,University,2,Islam,No,Area 1,High,Good,Short-term
31,Intermediate,University,5,Islam,No,Area 3,Low,Good,Short-term
30,Intermediate,Intermediate,3,Islam,Yes,Area 3,Moderate,Good,Short-term
44,Intermediate,University,5,Islam,Yes,Area 1,High,Good,Short-term
24,Intermediate,Intermediate,3,Islam,Yes,Area 2,Low,Good,Short-term
19,University,University,2,Islam,No,Area 1,High,Good,Short-term
28,University,University,5,Islam,No,Area 2,High,Good,Short-term
27,University,University,1,Non-Islam,Yes,Area 1,Considerable,Good,Short-term
29,Intermediate,Intermediate,3,Islam,No,Area 2,Low,Good,Short-term
37,University,University,3,Islam,No,Area 2,High,Good,Short-term
32,High School,High School,8,Islam,No,Area 2,Low,Good,Short-term
21,High School,High School,1,Islam,No,Area 4,Considerable,Good,Short-term
33,High School,Intermediate,7,Islam,Yes,Area 3,Low,Good,Short-term
23,High School,Intermediate,2,Islam,No,Area 3,Low,Good,Short-term
36,High School,High School,5,Islam,No,Area 3,High,Good,Short-term
33,High School,University,3,Islam,No,Area 3,High,Good,Short-term
35,University,University,2,Islam,Yes,Area 1,High,Good,Short-term
25,High School,Intermediate,4,Islam,No,Area 3,Considerable,Good,Short-term
29,High School,University,4,Islam,Yes,Area 2,High,Good,Short-term
23,Intermediate,Intermediate,1,Islam,No,Area 2,Moderate,Good,Short-term
19,Intermediate,Intermediate,1,Islam,No,Area 2,Low,Good,Short-term
35,Primary,High School,6,Islam,No,Area 2,Moderate,Not good,Short-term
25,Intermediate,Intermediate,3,Islam,No,Area 3,Moderate,Good,Short-term
40,Intermediate,University,6,Islam,No,Area 1,Considerable,Good,Short-term
17,Intermediate,University,1,Islam,No,Area 2,Low,Good,Short-term
25,High School,University,3,Islam,No,Area 3,Considerable,Good,Short-term
24,Intermediate,Intermediate,1,Islam,No,Area 3,Moderate,Good,Short-term
23,University,University,1,Islam,No,Area 3,Considerable,Good,Short-term
25,High School,University,3,Islam,No,Area 3,Moderate,Good,Short-term
30,Primary,Intermediate,4,Islam,No,Area 3,High,Good,Short-term
31,Primary,Primary,3,Islam,No,Area 4,Moderate,Not good,Short-term
26,Intermediate,University,2,Islam,No,Area 3,Considerable,Good,Short-term
28,Intermediate,University,2,Islam,No,Area 2,Considerable,Good,Short-term
30,Intermediate,Intermediate,3,Islam,No,Area 3,Low,Good,Short-term
29,Intermediate,University,5,Islam,No,Area 1,Moderate,Good,Short-term
24,Primary,Intermediate,4,Islam,No,Area 3,Considerable,Good,Short-term
26,Intermediate,University,2,Islam,No,Area 1,Considerable,Good,Short-term
25,Intermediate,Intermediate,3,Islam,No,Area 3,Considerable,Good,Short-term
35,University,University,3,Islam,No,Area 1,High,Good,Short-term
22,University,University,1,Islam,Yes,Area 2,High,Good,Short-term
